"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","386","Создание заказа с параметрами","tests","2026-05-06","passed","2026-05-06","TestOrders","test_create_order","",""
"","247","Проверка на отсутствие обязательных полей","tests","2026-05-06","passed","2026-05-06","TestCourier","test_create_courier","",""
"","262","Проверка на отсутствие обязательных полей","tests","2026-05-06","passed","2026-05-06","TestCourier","test_create_courier","",""
"","637","Проверка на создание дубликата","tests","2026-05-06","passed","2026-05-06","TestCourier","test_create_courier","",""
"","407","Успешное создание курьера","tests","2026-05-06","passed","2026-05-06","TestCourier","test_create_courier","",""
"","464","Попытка авторизации с несуществующими данными","tests","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"","353","Попытка авторизации с отсутствием обязательных полей","tests","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"","480","Попытка авторизация с неверным паролем","tests","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"","354","Попытка авторизации с отсутствием обязательных полей","tests","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"","260","Создание заказа с параметрами","tests","2026-05-06","passed","2026-05-06","TestOrders","test_create_order","",""
"","270","Создание заказа с параметрами","tests","2026-05-06","passed","2026-05-06","TestOrders","test_create_order","",""
"","289","Создание заказа с параметрами","tests","2026-05-06","passed","2026-05-06","TestOrders","test_create_order","",""
"","247","Проверка на отсутствие обязательных полей","tests","2026-05-06","passed","2026-05-06","TestCourier","test_create_courier","",""
"","462","Попытка авторизации с отсутствием обязательных полей","tests","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"","515","Успешный вход курьера","tests","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"","340","Получение списка заказов","tests","2026-05-06","passed","2026-05-06","TestOrderList","test_order_lists","",""
